,country_name,independent,un_member,start_Of_Week,official_country_name,common_native_name,idd_root,idd_suffixes,capital,region,sub_region,languages,area,population,continents,currencies
221,Albania,True,True,monday,Republic of Albania,,+3,['55'],['Tirana'],Europe,Southeast Europe,Albanian,28748.0,2837743,['Europe'],"Albanian lek, L"
222,Brazil,True,True,monday,Federative Republic of Brazil,,+5,['5'],['Brasília'],Americas,South America,Portuguese,8515767.0,212559409,['South America'],"Brazilian real, R$"
223,Serbia,True,True,monday,Republic of Serbia,,+3,['81'],['Belgrade'],Europe,Southeast Europe,Serbian,88361.0,6908224,['Europe'],"Serbian dinar, дин."
224,Belize,True,True,monday,Belize,Belize,+5,['01'],['Belmopan'],Americas,Central America,"English, Spanish, Belizean Creole",22966.0,397621,['North America'],"Belize dollar, $"
225,Myanmar,True,True,monday,Republic of the Union of Myanmar,,+9,['5'],['Naypyidaw'],Asia,South-Eastern Asia,Burmese,676578.0,54409794,['Asia'],"Burmese kyat, Ks"
226,Bhutan,True,True,monday,Kingdom of Bhutan,,+9,['75'],['Thimphu'],Asia,Southern Asia,Dzongkha,38394.0,771612,['Asia'],"Indian rupee, ₹, Bhutanese ngultrum, Nu."
227,Venezuela,True,True,monday,Bolivarian Republic of Venezuela,,+5,['8'],['Caracas'],Americas,South America,Spanish,916445.0,28435943,['South America'],"Venezuelan bolívar soberano, Bs.S."
228,Liberia,True,True,monday,Republic of Liberia,Liberia,+2,['31'],['Monrovia'],Africa,Western Africa,English,111369.0,5057677,['Africa'],"Liberian dollar, $"
229,Jamaica,True,True,monday,Jamaica,Jamaica,+1,['876'],['Kingston'],Americas,Caribbean,"English, Jamaican Patois",10991.0,2961161,['North America'],"Jamaican dollar, $"
230,Poland,True,True,monday,Republic of Poland,,+4,['8'],['Warsaw'],Europe,Central Europe,Polish,312679.0,37950802,['Europe'],"Polish złoty, zł"
231,Cayman Islands,False,False,monday,Cayman Islands,Cayman Islands,+1,['345'],['George Town'],Americas,Caribbean,English,264.0,65720,['North America'],"Cayman Islands dollar, $"
232,Brunei,True,True,monday,"Nation of Brunei, Abode of Peace",,+6,['73'],['Bandar Seri Begawan'],Asia,South-Eastern Asia,Malay,5765.0,437483,['Asia'],"Singapore dollar, $, Brunei dollar, $"
